theme1,theme2,theme3,theme4,PopDens,Total
0.173390727,0.175383894,0.225721272,0.169511998,1275.608676,568
0.223420713,0.279817588,0.411369119,0.199876193,1217.383856,575
0.098932624,0.067859957,0.028576367,0.092270482,122.4705519,64
0.600263928,0.755934205,0.675853134,0.504685464,3904.665649,230
0.335992647,0.376746966,0.34709244,0.262149233,98.35918185,388
0.203294283,0.390745635,0.284947685,0.17702543,508.141095,357
0.015867588,0.016224449,0.018821145,0.006311615,1000.103184,0
0.321298489,0.39014963,0.371447258,0.227416827,2146.346722,320
0.180688307,0.37130117,0.094135673,0.148146118,106.9128463,146
0.369586303,0.487522704,0.459864855,0.255685681,3212.70253,268
0.289832061,0.26255644,0.190955222,0.23297051,106.9847575,274
0.4557288,0.467552111,0.079639439,0.409583332,71.97403756,241
0.36688408,0.336742279,0.409237944,0.231841164,560.9118624,333
0.574524696,0.656360074,0.558341575,0.286828759,3535.319258,559
0.537241429,0.563400043,0.580649447,0.408009663,4773.245411,689
0.156675941,0.098198331,0.131937038,0.165307134,127.7123594,55
0.006864434,0.003359978,0.000527516,0.006728355,162.4181238,4
0.228327351,0.29841384,0.014648191,0.193600106,46.12677401,59
0.394856614,0.371548836,0.393743099,0.532859447,292.5423386,189
0.259822805,0.259411028,0.185439839,0.216883635,200.8092229,361
0.330092828,0.270194878,0.239593657,0.199307401,57.81710657,85
0.020748309,0.013478642,0.016093282,0.012107129,247.1086488,8
0.253970825,0.328865025,0.226227458,0.311414942,360.8061308,690
0.052046776,0.056454843,0.044522139,0.057061145,238.2560632,62
0.138676549,0.17195327,0.125468592,0.155811647,103.5256944,92
0.109218213,0.072628794,0.086749092,0.085273926,114.2831397,78
0.595863707,0.504593609,0.591548452,0.501698538,3137.875665,238
0.368822034,0.536844725,0.507290123,0.173092858,1571.754336,185
0.235117445,0.1583386,0.363574887,0.054857752,295.211737,46
0.175981927,0.175232522,0.10763573,0.160701875,220.0951162,305
0.254895759,0.173074544,0.517335338,0.098675767,4700.378935,317
0.28845192,0.184878832,0.218719381,0.25238663,3176.758387,280
0.044560215,0.145376738,0.022616193,0.033825495,205.157375,215
0.390615092,0.285376911,0.156837593,0.282661886,201.7339844,462
0.776276,0.446394935,0.721883134,0.544018691,6627.401936,686
0.559510375,0.358328245,0.547291577,0.597765541,2917.061656,348
0.360124074,0.544798022,0.337126228,0.500758941,3254.3777,414
0.368902896,0.426748387,0.227450862,0.35741319,3358.365341,411
0.581484308,0.516794681,0.632950024,0.635169446,6140.132518,447
0.3046119,0.359868677,0.329164159,0.357548511,3877.426068,285
0.130088863,0.258348327,0.203954875,0.256329115,3134.221401,337
0.188702829,0.269964438,0.296903258,0.231462355,4405.123585,527
0.222282592,0.307357751,0.059218163,0.297781852,380.1238901,699
0.186132131,0.287880538,0.254536045,0.308231005,4951.618736,528
0.248049573,0.488011037,0.212441337,0.370948092,4791.970393,242
0.190379734,0.294916736,0.074103399,0.185520456,859.2143361,1164
0.257324187,0.26386848,0.157337328,0.283740097,239.7641593,678
0.293381379,0.381627517,0.110039077,0.225757692,150.4121801,1020
0.02378964,0.137163553,0.066825647,0.071364091,1904.279042,181
0.208843068,0.18234588,0.144760783,0.155057779,540.3173907,369
0.277589885,0.201638925,0.449855737,0.220062725,5107.124322,408
0.312587299,0.21898653,0.409839553,0.557505889,2669.229146,398
0.04733478,0.041535586,0.047577754,0.024655586,34.12150254,7
0.307134725,0.431091317,0.019585441,0.270609464,37.05325547,112
0.1989789,0.30709163,0.05159913,0.308593997,203.7285885,462
0.244323214,0.381563981,0.141741073,0.188773078,251.346671,413
0.176558085,0.153886161,0.321120279,0.403536236,1223.227606,573
0.11221005,0.123873085,0.088794946,0.072664598,448.7120381,187
0.385394308,0.433399298,0.353364795,0.318236042,3702.174015,534
0.131572059,0.037973412,0.377447377,0.222609351,3758.114415,119
0.129314377,0.137003222,0.185939881,0.112411741,1755.327655,678
0.220917604,0.168496073,0.424605721,0.188638296,4574.839495,671
0.073351958,0.110838384,0.072842188,0.132618289,105.3240363,171
0.064445303,0.040691605,0.250210356,0.134958122,3155.747365,317
0.08245432,0.109543336,0.334510575,0.187959224,2235.956164,215
0.045201713,0.061963027,0.103626829,0.08236282,1129.156926,133
0.197118451,0.232448864,0.367305395,0.275949025,5221.786842,443
0.101167782,0.052609597,0.361386013,0.202523834,3203.949491,248
0.093846389,0.141801094,0.36752541,0.101389228,5619.112429,339
0.084702102,0.167634318,0.147606611,0.080666563,3023.441065,335
0.098930774,0.19408254,0.067769271,0.150830328,522.4458651,319
0.069492518,0.110356238,0.241431246,0.064070414,2562.760245,433
0.073924789,0.010786968,0.480597463,0.23941113,2874.314523,95
0.502124092,0.39809804,0.67938555,0.349752847,3955.995011,771
0.655087741,0.567244292,0.628339382,0.429137725,4082.138102,401
0.634981101,0.429888534,0.653010309,0.400813977,5260.012837,466
0.400970593,0.485761787,0.509959368,0.431567138,3039.985636,762
0.10363557,0.173738682,0.215703737,0.060808881,2199.301947,222
0.502468649,0.383265557,0.578627813,0.405239055,1666.646869,505
0.301412532,0.20667027,0.558144784,0.163627447,3297.203057,867
0.065277401,0.092496558,0.176897909,0.065315505,1540.947706,100
0.131618399,0.1189526,0.276767881,0.225367472,1760.186026,584
0.514545721,0.346042349,0.606651462,0.800839864,1153.684047,153
