theme1,theme2,theme3,theme4,PopDens,Total
0.181559237,0.219600407,0.320061932,0.231822366,2294.392926,500
0.458223863,0.191033884,0.312386866,0.642994828,427.9085977,501
0.07397384,0.151942273,0.04932682,0.201295902,72.11531761,153
0.17872507,0.325535349,0.122525985,0.313633507,78.08848012,99
0.128653566,0.111338695,0.184704976,0.09660977,2563.698055,370
0.109971906,0.056143454,0.184189099,0.677317363,4277.541395,262
0.526528237,0.366918613,0.569975892,0.760043075,4359.763515,279
0.224300963,0.03785062,0.259676412,0.587779404,5281.452131,314
0.367064272,0.004146097,0.110348728,0.591566316,14762.98765,105
0.268645255,0.354068671,0.333400408,0.293654391,94.69125048,27
0.227574696,0.12634175,0.189017958,0.515927421,4818.484109,40
0.516476386,0.383712591,0.575638387,0.38161561,920.0098363,297
0.334964041,0.308846031,0.422338622,0.261320447,433.9605993,103
0.053670355,0.046374861,0.153457768,0.196884926,1278.720876,75
0.114991838,0.095512109,0.296394197,0.249784555,3394.505024,199
0.07410638,0.091715552,0.31405741,0.299798831,3264.019849,186
0.071668359,0.192989243,0.087612898,0.290067324,3109.125126,139
0.036809493,0.149832292,0.091037806,0.119425442,1030.088866,62
0.022413902,0.115973694,0.074511522,0.075209435,759.0381435,39
0.209185259,0.143361963,0.280744342,0.209868228,780.8739574,146
0.157006992,0.172563086,0.237861383,0.665730821,824.8185407,125
0.027258869,0.067127031,0.021664226,0.211908821,274.2766443,60
0.035698533,0.104082942,0.078272892,0.189389725,876.1671962,147
0.079217099,0.3027674,0.170299543,0.065680213,1712.519708,88
0.689539554,0.173469414,0.683500974,0.731558809,6658.996055,373
0.68835002,0.473467236,0.718034439,0.63862858,120.2447536,12
0.512680286,0.386373519,0.599863093,0.482600158,2202.819934,455
0.056166928,0.179155916,0.118824517,0.20121994,1201.335623,145
0.250752465,0.198084302,0.442564717,0.39209547,836.1554039,128
0.190994982,0.106176623,0.334061143,0.438357518,3783.156702,328
0.122224522,0.086571999,0.20777568,0.266514607,3622.631416,173
0.124203291,0.128912604,0.190824475,0.153808097,2236.250308,156
0.395871188,0.298491246,0.616196743,0.447385503,5164.366615,527
0.194186414,0.072934976,0.395781789,0.456296624,1641.877327,190
0.119891027,0.03143398,0.151852763,0.327986516,5263.375144,50
0.200051601,0.165576865,0.206799213,0.411934685,4802.793847,185
0.347108568,0.146524094,0.520250884,0.565635551,5007.80829,454
0.071613679,0.110276158,0.214125343,0.216065647,2975.99984,259
0.1141408,0.192202743,0.180967882,0.181077497,2661.323201,600
0.085227602,0.058846776,0.051031006,0.085491549,19.64998631,19
0.133362879,0.117807255,0.124120636,0.125778488,60.06678425,86
0.456628948,0.400673515,0.471612542,0.275744384,373.830623,231
0.048621797,0.081775219,0.037495795,0.078882707,93.45505932,21
0.1469009,0.370984781,0.11629028,0.385270817,88.35218326,118
0.26910196,0.25112693,0.258143288,0.209008538,118.2914664,279
0.006124655,0.001889982,0.005358496,0.007997404,316.2853164,2
0.331679947,0.247062933,0.328625288,0.19328754,321.4127219,404
0.091611717,0.188884806,0.087855952,0.08837884,279.7659141,297
0.222512014,0.338773889,0.237685076,0.084400601,444.6126607,348
0.334827605,0.212949543,0.41023406,0.417183746,527.6918255,375
0.127699075,0.161586813,0.140341647,0.241423415,435.6401176,533
0.120933497,0.167459866,0.087448867,0.240822215,103.5901375,158
0.287146032,0.289988172,0.282533653,0.405059853,99.06676094,183
0.213702534,0.207503224,0.134872529,0.19766292,270.0428232,123
0.081092915,0.059301651,0.147953132,0.187582022,284.2472573,36
0.317982915,0.217496558,0.40443903,0.214209051,183.8063288,175
0.112368006,0.071845336,0.100137782,0.142302879,95.68369462,38
0.106630063,0.033597502,0.093976577,0.139279291,114.0459301,23
0.195031778,0.185773564,0.371831203,0.217526287,1797.611144,734
0.008303474,0.003234716,0.006985799,0.010393106,203.0831463,7
0.211179209,0.118059768,0.198603028,0.106690626,30.2893377,20
0.286816328,0.296644497,0.423032856,0.302663293,3652.638423,615
0.11937497,0.170230955,0.186988536,0.146362914,29.13292753,64
0.453511846,0.250587448,0.289693524,0.555585652,21.92014584,30
0.16861707,0.069707057,0.160875608,0.150604742,88.45523453,82
0.27350892,0.216694112,0.225428885,0.409631037,137.0560459,323
0.285650178,0.208976793,0.348854965,0.350178153,328.2747706,242
0.244324852,0.264951925,0.238617054,0.258354491,131.0318362,138
0.004356492,0.002407367,0.002780636,0.005345536,25.73339368,0
0.297462349,0.368552525,0.251270193,0.366388101,127.0486451,329
